,name,owner,url,stargazers,createdAt,updatedAt,pullRequestMerged,pullRequestClosed
0,freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,344029,2014-12-24T17:49:19Z,2022-04-17T15:28:22Z,17029,12181
1,996.ICU,996icu,https://github.com/996icu/996.ICU,261794,2019-03-26T07:31:14Z,2022-04-17T14:57:06Z,1063,864
2,free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,230782,2013-10-11T06:50:37Z,2022-04-17T15:31:21Z,4371,1623
3,coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,217268,2016-06-06T02:34:12Z,2022-04-17T15:21:29Z,293,444
4,awesome,sindresorhus,https://github.com/sindresorhus/awesome,197512,2014-07-11T13:42:37Z,2022-04-17T15:28:55Z,570,1173
5,vue,vuejs,https://github.com/vuejs/vue,195002,2013-07-29T03:24:51Z,2022-04-17T15:00:39Z,1071,866
6,developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,192030,2017-03-15T13:45:52Z,2022-04-17T15:28:52Z,248,180
7,public-apis,public-apis,https://github.com/public-apis/public-apis,189524,2016-03-20T23:49:42Z,2022-04-17T15:32:35Z,1871,820
8,react,facebook,https://github.com/facebook/react,186484,2013-05-24T16:15:54Z,2022-04-17T15:16:34Z,8237,3647
9,system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,174469,2017-02-26T16:15:28Z,2022-04-17T15:33:05Z,190,74
10,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,164294,2015-11-07T01:19:20Z,2022-04-17T15:20:41Z,14357,6224
11,bootstrap,twbs,https://github.com/twbs/bootstrap,156483,2011-07-29T21:19:00Z,2022-04-17T15:08:20Z,7545,5804
12,You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,151979,2013-11-16T02:37:24Z,2022-04-17T15:23:27Z,352,454
13,CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,149497,2018-02-13T14:56:24Z,2022-04-17T15:30:55Z,375,157
14,ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,143741,2009-08-28T18:15:37Z,2022-04-17T15:31:58Z,2675,3349
15,build-your-own-x,danistefanovic,https://github.com/danistefanovic/build-your-own-x,139186,2018-05-09T12:03:18Z,2022-04-17T15:28:38Z,86,60
16,flutter,flutter,https://github.com/flutter/flutter,138953,2015-03-06T22:54:58Z,2022-04-17T15:26:24Z,24445,9624
