,name,owner,url,stargazers,createdAt,updatedAt,pullRequestMerged,pullRequestClosed
0,freeCodeCamp,{'login': 'freeCodeCamp'},https://github.com/freeCodeCamp/freeCodeCamp,{'totalCount': 344029},2014-12-24T17:49:19Z,2022-04-17T15:28:22Z,{'totalCount': 17029},{'totalCount': 12181}
1,996.ICU,{'login': '996icu'},https://github.com/996icu/996.ICU,{'totalCount': 261794},2019-03-26T07:31:14Z,2022-04-17T14:57:06Z,{'totalCount': 1063},{'totalCount': 864}
2,free-programming-books,{'login': 'EbookFoundation'},https://github.com/EbookFoundation/free-programming-books,{'totalCount': 230782},2013-10-11T06:50:37Z,2022-04-17T15:31:21Z,{'totalCount': 4371},{'totalCount': 1623}
3,coding-interview-university,{'login': 'jwasham'},https://github.com/jwasham/coding-interview-university,{'totalCount': 217268},2016-06-06T02:34:12Z,2022-04-17T15:21:29Z,{'totalCount': 293},{'totalCount': 444}
4,awesome,{'login': 'sindresorhus'},https://github.com/sindresorhus/awesome,{'totalCount': 197512},2014-07-11T13:42:37Z,2022-04-17T15:28:55Z,{'totalCount': 570},{'totalCount': 1173}
5,vue,{'login': 'vuejs'},https://github.com/vuejs/vue,{'totalCount': 195002},2013-07-29T03:24:51Z,2022-04-17T15:00:39Z,{'totalCount': 1071},{'totalCount': 866}
6,developer-roadmap,{'login': 'kamranahmedse'},https://github.com/kamranahmedse/developer-roadmap,{'totalCount': 192030},2017-03-15T13:45:52Z,2022-04-17T15:28:52Z,{'totalCount': 248},{'totalCount': 180}
7,public-apis,{'login': 'public-apis'},https://github.com/public-apis/public-apis,{'totalCount': 189524},2016-03-20T23:49:42Z,2022-04-17T15:32:35Z,{'totalCount': 1871},{'totalCount': 820}
8,react,{'login': 'facebook'},https://github.com/facebook/react,{'totalCount': 186484},2013-05-24T16:15:54Z,2022-04-17T15:16:34Z,{'totalCount': 8237},{'totalCount': 3647}
9,system-design-primer,{'login': 'donnemartin'},https://github.com/donnemartin/system-design-primer,{'totalCount': 174469},2017-02-26T16:15:28Z,2022-04-17T15:33:05Z,{'totalCount': 190},{'totalCount': 74}
10,tensorflow,{'login': 'tensorflow'},https://github.com/tensorflow/tensorflow,{'totalCount': 164294},2015-11-07T01:19:20Z,2022-04-17T15:20:41Z,{'totalCount': 14357},{'totalCount': 6224}
11,bootstrap,{'login': 'twbs'},https://github.com/twbs/bootstrap,{'totalCount': 156483},2011-07-29T21:19:00Z,2022-04-17T15:08:20Z,{'totalCount': 7545},{'totalCount': 5804}
12,You-Dont-Know-JS,{'login': 'getify'},https://github.com/getify/You-Dont-Know-JS,{'totalCount': 151979},2013-11-16T02:37:24Z,2022-04-17T15:23:27Z,{'totalCount': 352},{'totalCount': 454}
13,CS-Notes,{'login': 'CyC2018'},https://github.com/CyC2018/CS-Notes,{'totalCount': 149497},2018-02-13T14:56:24Z,2022-04-17T15:30:55Z,{'totalCount': 375},{'totalCount': 157}
14,ohmyzsh,{'login': 'ohmyzsh'},https://github.com/ohmyzsh/ohmyzsh,{'totalCount': 143741},2009-08-28T18:15:37Z,2022-04-17T15:31:58Z,{'totalCount': 2675},{'totalCount': 3349}
15,build-your-own-x,{'login': 'danistefanovic'},https://github.com/danistefanovic/build-your-own-x,{'totalCount': 139186},2018-05-09T12:03:18Z,2022-04-17T15:28:38Z,{'totalCount': 86},{'totalCount': 60}
16,flutter,{'login': 'flutter'},https://github.com/flutter/flutter,{'totalCount': 138953},2015-03-06T22:54:58Z,2022-04-17T15:26:24Z,{'totalCount': 24445},{'totalCount': 9624}
17,javascript-algorithms,{'login': 'trekhleb'},https://github.com/trekhleb/javascript-algorithms,{'totalCount': 139037},2018-03-24T07:47:04Z,2022-04-17T15:28:46Z,{'totalCount': 266},{'totalCount': 161}
18,Python,{'login': 'TheAlgorithms'},https://github.com/TheAlgorithms/Python,{'totalCount': 134647},2016-07-16T09:44:01Z,2022-04-17T15:28:46Z,{'totalCount': 1816},{'totalCount': 2973}
19,gitignore,{'login': 'github'},https://github.com/github/gitignore,{'totalCount': 131892},2010-11-08T20:17:14Z,2022-04-17T15:26:24Z,{'totalCount': 1521},{'totalCount': 2206}
20,linux,{'login': 'torvalds'},https://github.com/torvalds/linux,{'totalCount': 130328},2011-09-04T22:48:12Z,2022-04-17T15:04:59Z,{'totalCount': 9},{'totalCount': 436}
21,vscode,{'login': 'microsoft'},https://github.com/microsoft/vscode,{'totalCount': 130250},2015-09-03T20:23:38Z,2022-04-17T14:43:43Z,{'totalCount': 8584},{'totalCount': 2921}
22,awesome-python,{'login': 'vinta'},https://github.com/vinta/awesome-python,{'totalCount': 123971},2014-06-27T21:00:06Z,2022-04-17T15:23:01Z,{'totalCount': 526},{'totalCount': 879}
23,javascript,{'login': 'airbnb'},https://github.com/airbnb/javascript,{'totalCount': 122019},2012-11-01T23:13:50Z,2022-04-17T15:23:21Z,{'totalCount': 777},{'totalCount': 526}
24,JavaGuide,{'login': 'Snailclimb'},https://github.com/Snailclimb/JavaGuide,{'totalCount': 120277},2018-05-07T13:27:00Z,2022-04-17T14:59:28Z,{'totalCount': 660},{'totalCount': 220}
25,Python-100-Days,{'login': 'jackfrued'},https://github.com/jackfrued/Python-100-Days,{'totalCount': 117285},2018-03-01T16:05:52Z,2022-04-17T14:28:50Z,{'totalCount': 12},{'totalCount': 94}
26,computer-science,{'login': 'ossu'},https://github.com/ossu/computer-science,{'totalCount': 111617},2014-05-04T00:18:39Z,2022-04-17T15:21:59Z,{'totalCount': 209},{'totalCount': 135}
27,youtube-dl,{'login': 'ytdl-org'},https://github.com/ytdl-org/youtube-dl,{'totalCount': 108733},2010-10-31T14:35:07Z,2022-04-17T15:25:36Z,{'totalCount': 1559},{'totalCount': 2227}
28,the-art-of-command-line,{'login': 'jlevy'},https://github.com/jlevy/the-art-of-command-line,{'totalCount': 105124},2015-05-20T15:11:03Z,2022-04-17T15:28:58Z,{'totalCount': 303},{'totalCount': 130}
29,fucking-algorithm,{'login': 'labuladong'},https://github.com/labuladong/fucking-algorithm,{'totalCount': 104988},2020-02-19T09:01:23Z,2022-04-17T15:17:27Z,{'totalCount': 205},{'totalCount': 179}
30,react-native,{'login': 'facebook'},https://github.com/facebook/react-native,{'totalCount': 102162},2015-01-09T18:10:16Z,2022-04-17T14:44:43Z,{'totalCount': 630},{'totalCount': 9725}
31,electron,{'login': 'electron'},https://github.com/electron/electron,{'totalCount': 101294},2013-04-12T01:47:36Z,2022-04-17T15:29:34Z,{'totalCount': 14528},{'totalCount': 1864}
32,d3,{'login': 'd3'},https://github.com/d3/d3,{'totalCount': 100956},2010-09-27T17:22:42Z,2022-04-17T14:32:24Z,{'totalCount': 439},{'totalCount': 673}
33,go,{'login': 'golang'},https://github.com/golang/go,{'totalCount': 97966},2014-08-19T04:33:40Z,2022-04-17T14:57:14Z,{'totalCount': 0},{'totalCount': 1969}
34,create-react-app,{'login': 'facebook'},https://github.com/facebook/create-react-app,{'totalCount': 94492},2016-07-17T14:55:11Z,2022-04-17T15:04:22Z,{'totalCount': 1922},{'totalCount': 1692}
35,30-seconds-of-code,{'login': '30-seconds'},https://github.com/30-seconds/30-seconds-of-code,{'totalCount': 94032},2017-11-29T17:35:03Z,2022-04-17T15:28:56Z,{'totalCount': 752},{'totalCount': 729}
36,axios,{'login': 'axios'},https://github.com/axios/axios,{'totalCount': 92543},2014-08-18T22:30:27Z,2022-04-17T14:25:43Z,{'totalCount': 483},{'totalCount': 437}
37,free-programming-books-zh_CN,{'login': 'justjavac'},https://github.com/justjavac/free-programming-books-zh_CN,{'totalCount': 91017},2013-11-04T01:59:19Z,2022-04-17T15:21:10Z,{'totalCount': 269},{'totalCount': 135}
38,kubernetes,{'login': 'kubernetes'},https://github.com/kubernetes/kubernetes,{'totalCount': 87550},2014-06-06T22:56:04Z,2022-04-17T15:12:01Z,{'totalCount': 51165},{'totalCount': 16924}
39,node,{'login': 'nodejs'},https://github.com/nodejs/node,{'totalCount': 86895},2014-11-26T19:57:11Z,2022-04-17T15:18:22Z,{'totalCount': 4041},{'totalCount': 22654}
40,next.js,{'login': 'vercel'},https://github.com/vercel/next.js,{'totalCount': 85372},2016-10-05T23:32:51Z,2022-04-17T15:23:16Z,{'totalCount': 8686},{'totalCount': 2124}
41,awesome-selfhosted,{'login': 'awesome-selfhosted'},https://github.com/awesome-selfhosted/awesome-selfhosted,{'totalCount': 85397},2015-06-01T02:33:17Z,2022-04-17T15:19:15Z,{'totalCount': 1754},{'totalCount': 409}
42,terminal,{'login': 'microsoft'},https://github.com/microsoft/terminal,{'totalCount': 82328},2017-08-11T18:38:22Z,2022-04-17T14:46:19Z,{'totalCount': 2596},{'totalCount': 315}
43,deno,{'login': 'denoland'},https://github.com/denoland/deno,{'totalCount': 81618},2018-05-15T01:34:26Z,2022-04-17T15:28:25Z,{'totalCount': 6272},{'totalCount': 1558}
44,three.js,{'login': 'mrdoob'},https://github.com/mrdoob/three.js,{'totalCount': 81034},2010-03-23T18:58:01Z,2022-04-17T14:22:34Z,{'totalCount': 9619},{'totalCount': 2952}
45,angular,{'login': 'angular'},https://github.com/angular/angular,{'totalCount': 80783},2014-09-18T16:12:01Z,2022-04-17T15:31:42Z,{'totalCount': 3073},{'totalCount': 17824}
